"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","UPSIDE ","BUST ","SOS","ECR VS ADP"
"308",13,"Adam Randall",BAL,"RB92","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+2"
"309",13,"Jake Tonges",SF,"TE38","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-90"
"310",13,"Kaelon Black",SF,"RB93","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-93"
"311",13,"Trevor Etienne",CAR,"RB94","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-25"
"312",13,"Skyler Bell",BUF,"WR108","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-32"
"313",13,"Isaac Guerendo",SF,"RB95","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+28"
"314",13,"Tahj Brooks",CIN,"RB96","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+85"
"315",13,"Isaiah Bond",CLE,"WR109","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+18"
"316",13,"Jarquez Hunter",LAR,"RB97","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","+16"
"317",13,"Ja'Kobi Lane",BAL,"WR110","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+3"
"318",13,"Audric Estime",NO,"RB98","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+41"
"319",13,"Andrei Iosivas",CIN,"WR111","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+3"
"320",13,"Chicago Bears",CHI,"DST20","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-83"
"321",13,"Tez Johnson",TB,"WR112","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+85"
"322",13,"J.J. McCarthy",MIN,"QB36","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-61"
"323",13,"Konata Mumpfield",LAR,"WR113","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-12"
"324",13,"Cedric Tillman",CLE,"WR114","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-5"
"325",13,"Jalen Royals",KC,"WR115","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+42"
"326",13,"Max Klare",LAR,"TE39","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+59"
