"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","UPSIDE ","BUST ","SOS","ECR VS ADP"
"458",15,"Robert Henry Jr.",WAS,"RB131","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"459",15,"Hunter Luepke",DAL,"RB132","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"460",15,"Will Howard",PIT,"QB48","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-95"
"461",15,"Jahdae Walker",CHI,"WR156","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-119"
"462",15,"Adam Prentice",DEN,"RB133","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"463",15,"Myles Montgomery",NE,"RB134","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"464",15,"Nate Boerkircher",JAC,"TE66","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"465",15,"Sam Roush",CHI,"TE67","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-169"
"466",15,"Durham Smythe",BAL,"TE68","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"467",15,"JuJu Smith-Schuster",NYG,"WR157","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"468",15,"Tanner Koziol",JAC,"TE69","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"469",15,"Adam Trautman",DEN,"TE70","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"470",15,"Luke Schoonmaker",DAL,"TE71","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"471",15,"Tyler Goodson",ATL,"RB135","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"472",15,"Ronnie Rivers",LAR,"RB136","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"473",15,"Cam Akers",FA,"RB137","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"474",15,"Ronnie Bell",NO,"WR158","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"475",15,"Brock Wright",DET,"TE72","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"476",15,"Jack Endries",CIN,"TE73","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"477",15,"Quinn Ewers",MIA,"QB49","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-129"
"478",16,"Roman Hemby",LV,"RB138","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"479",16,"Lil'Jordan Humphrey",DEN,"WR159","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"480",16,"Mo Alie-Cox",IND,"TE74","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"481",16,"Cade Klubnik",NYJ,"QB50","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"482",16,"Roman Wilson",PIT,"WR160","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"483",16,"Jackson Hawes",BUF,"TE75","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"484",16,"Michael Trigg",DAL,"TE76","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"485",16,"Thomas Fidone II",NYG,"TE77","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"486",16,"Jason Sanders",NYJ,"K31","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"487",16,"New York Jets",NYJ,"DST31","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-97"
